"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @felaskechayi: Ghazaleh Chalabi, a 33-year-old mountaineer, was shot in the head on Sept 21, by the Iranian regime. She filmed the momen…",FALSE,0,NA,2022-11-25 08:31:50,FALSE,NA,"1596059069260828672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ardavan_nobari",31,TRUE,FALSE,NA,NA
"RT @showmustgoon1tw: They kidnapped #Vuria_Ghafouri the Kurdish football player whom stood up for the right and freedom of his country. Thi…",FALSE,0,NA,2022-11-25 08:31:49,FALSE,NA,"1596059068778819585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_0512clover",1,TRUE,FALSE,NA,NA
"@ImCleopatrah Ghazaleh Chalabi
was an Iranian woman protester who was shot in the head by security forces.
33 years… https://t.co/AoO6XeqvjV",FALSE,0,"ImCleopatrah",2022-11-25 08:31:49,TRUE,"1596054141851570176","1596059067625385984","1444799652352647174","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ZaRa_66",0,FALSE,FALSE,NA,NA
"@FIFAcom Sarina Esmaeilzadeh also loved football, but she was beaten to death by Iranian security forces during the… https://t.co/7iBiF3ZWxN",FALSE,0,"FIFAcom",2022-11-25 08:31:49,TRUE,"1596049198197215233","1596059066031570945","140070953","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lente_caa",0,FALSE,FALSE,NA,NA
"RT @felaskechayi: Amin Bazrgar, a wrestler, went missing after his support for his executed friend, Navid Afkari, in July 2020. He informed…",FALSE,0,NA,2022-11-25 08:31:49,FALSE,NA,"1596059065133977602",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__elnaz__",74,TRUE,FALSE,NA,NA
"RT @GhanaBlackstars: Not the result we wanted, but we will bounce back ! 👊🏾

🇵🇹 3️⃣-2️⃣ 🇬🇭 

#BlackStars  | #FIFAWorldCup  | #TeamGhana  |…",FALSE,0,NA,2022-11-25 08:31:48,FALSE,NA,"1596059063883685888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boni_bright",651,TRUE,FALSE,NA,NA
"RT @Aureliano_se: #SayTheirNames Mohammad Ghaemi Fard was the 18-year-old goalkeeper of Amin Dezful team, who was killed by the Islamic Rep…",FALSE,0,NA,2022-11-25 08:31:48,FALSE,NA,"1596059061468139522",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SoeriRoms",3,TRUE,FALSE,NA,NA
"RT @ImCleopatrah: Sarina Esmaeilzadeh also loved football, but she was beaten to death by Iranian security forces during the 2022 protests.…",FALSE,0,NA,2022-11-25 08:31:47,FALSE,NA,"1596059057793937409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asra3131",12,TRUE,FALSE,NA,NA
"RT @felaskechayi: Mohammadjavad Vafaei, a local boxing champion, is sentenced to death by Iran's regime after getting arrested on 7 Feb 202…",FALSE,0,NA,2022-11-25 08:31:46,FALSE,NA,"1596059056124628993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lilylilylilyiy",19,TRUE,FALSE,NA,NA
"RT @Middl3_Fing3r: Amin Bazrgar
Wrestler
Age: 28
He was under pressure from the Iranian regime for supporting Navid Afkari and then disappe…",FALSE,0,NA,2022-11-25 08:31:46,FALSE,NA,"1596059055860375553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_0512clover",6,TRUE,FALSE,NA,NA
"RT @hmins93: Kiana Gasemi was a big fan of @realmadriden .
But she died in a plane crash on January 5th, 2020 which it was organised by Ira…",FALSE,0,NA,2022-11-25 08:31:46,FALSE,NA,"1596059055717769216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gloomhand",11,TRUE,FALSE,NA,NA
"RT @bellesilva: We have the best defense in Brazil.  including Thiago silva also known as “o monster” and captain of this golden generation…",FALSE,0,NA,2022-11-25 08:31:46,FALSE,NA,"1596059054140542981",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ymuller990",240,TRUE,FALSE,NA,NA
"RT @felaskechayi: Mehran Tavana, a Muay Thai athlete, was shot in the heart by state forces during protests. He was in a coma for 3 days an…",FALSE,0,NA,2022-11-25 08:31:46,FALSE,NA,"1596059053981335552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","8november1997",27,TRUE,FALSE,NA,NA
"A huge game for 🏴󠁧󠁢󠁷󠁬󠁳󠁿 as they look to get out of Group B! 

@adriandelmonte caught up with legendary Welsh singer… https://t.co/9hemK8x4S2",FALSE,0,NA,2022-11-25 08:31:45,TRUE,NA,"1596059051023949824",NA,"<a href=""http://www.yuzzitpro.com"" rel=""nofollow"">Yuzzit Pro</a>","beINSPORTS_EN",0,FALSE,FALSE,NA,NA
"RT @GFakhari: This is #NiloofarHamedi. She is an Iranian journalist who was arrested by the Islamic regime, because she did her job. She wa…",FALSE,0,NA,2022-11-25 08:31:45,FALSE,NA,"1596059048218357760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ardavan_nobari",13,TRUE,FALSE,NA,NA
"RT @ImCleopatrah: Ghazaleh Chalabi
was an Iranian woman protester who was shot in the head by security forces.
33 years old
Killed on Septe…",FALSE,0,NA,2022-11-25 08:31:44,FALSE,NA,"1596059047668523008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asra3131",11,TRUE,FALSE,NA,NA
"RT @TheAliFromIran: As we speak about World Cup,the IRGC oppression forces are killing Iranian people including children and woman in Kurdi…",FALSE,0,NA,2022-11-25 08:31:44,FALSE,NA,"1596059043709140992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_0512clover",2,TRUE,FALSE,NA,NA
"RT @justchangingun: #VoriaGhafouri, Iranian footballer and former national team member was kidnapped by the Islamic Republic. Voria was the…",FALSE,0,NA,2022-11-25 08:31:43,FALSE,NA,"1596059042790912000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Nimazzz",5600,TRUE,FALSE,NA,NA
"RT @felaskechayi: Ali Mozaffari, a 17-year-old professional volleyball player, was shot dead on September 21 by the Iranian regime's forces…",FALSE,0,NA,2022-11-25 08:31:43,FALSE,NA,"1596059042467565568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Qasiiideh",13,TRUE,FALSE,NA,NA
"RT @felaskechayi: Erfan Nazari, a bodybuilding champion, was killed by Iran's regime on Sept 29 amid Iran protests. He was shot in the face…",FALSE,0,NA,2022-11-25 08:31:43,FALSE,NA,"1596059042153013249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","8november1997",65,TRUE,FALSE,NA,NA
"RT @GhanaBlackstars: ⚡️ | Terrific Atmosphere 👏🏽 

#BlackStars  | #FIFAWorldCup| #TeamGhana | #Qatar2022 https://t.co/CzJylF9fE2",FALSE,0,NA,2022-11-25 08:31:43,FALSE,NA,"1596059041654280192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KonaduRose",216,TRUE,FALSE,NA,NA
"RT @Aureliano_se: #SayTheirNames Ali Mozaffari was a 17-year-old volleyball player of the Saipa Tehran VC, who was killed by the Islamic Re…",FALSE,0,NA,2022-11-25 08:31:43,FALSE,NA,"1596059040073015296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Itwassarvenaz",19,TRUE,FALSE,NA,NA
"RT @AfricaPredict: 🇬🇭 Mohammed Kudus completed more take-ons than every other player on the pitch combined in the first half of Portugal vs…",FALSE,0,NA,2022-11-25 08:31:42,FALSE,NA,"1596059039318044678",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kellyography",1,TRUE,FALSE,NA,NA
"RT @hmins93: Mohammad was a football player himself and he also loved @FcEsteghlal 
He was performing as the goalkeeper of Dezful's team
Bu…",FALSE,0,NA,2022-11-25 08:31:42,FALSE,NA,"1596059037447196672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gloomhand",12,TRUE,FALSE,NA,NA
